date,	cases,	country,
15/02/2020,	0,	India,
14/02/2020,	0,	India,
13/02/2020,	0,	India,
44167,	0,	India,
44137,	0,	India,
44106,	0,	India,
44076,	0,	India,
44045,	0,	India,
44014,	0,	India,
43984,	0,	India,
43953,	0,	India,
43923,	1,	India,
43892,	0,	India,
43863,	1,	India,
43832,	0,	India,
31/01/2020,	0,	India,
30/01/2020,	1,	India,
29/01/2020,	0,	India,
28/01/2020,	0,	India,
27/01/2020,	0,	India,
26/01/2020,	0,	India,
25/01/2020,	0,	India,
24/01/2020,	0,	India,
23/01/2020,	0,	India,
22/01/2020,	0,	India,
21/01/2020,	0,	India,
20/01/2020,	0,	India,
19/01/2020,	0,	India,
18/01/2020,	0,	India,
17/01/2020,	0,	India,
16/01/2020,	0,	India,
15/01/2020,	0,	India,
14/01/2020,	0,	India,
13/01/2020,	0,	India,
44166,	0,	India,
44136,	0,	India,
44105,	0,	India,
44075,	0,	India,
44044,	0,	India,
44013,	0,	India,
43983,	0,	India,
43952,	0,	India,
43922,	0,	India,
43891,	0,	India,
43862,	0,	India,
43831,	0,	India,
31/12/2019,	0,	India,
16/06/2020,	301,	Italy,
15/06/2020,	338,	Italy,
14/06/2020,	346,	Italy,
13/06/2020,	163,	Italy,
44171,	379,	Italy,
44141,	202,	Italy,
44110,	283,	Italy,
44080,	280,	Italy,
44049,	197,	Italy,
44018,	270,	Italy,
43988,	518,	Italy,
43957,	177,	Italy,
43927,	321,	Italy,
43896,	318,	Italy,
43867,	178,	Italy,
43836,	355,	Italy,
31/05/2020,	416,	Italy,
30/05/2020,	516,	Italy,
29/05/2020,	593,	Italy,
28/05/2020,	584,	Italy,
27/05/2020,	397,	Italy,
26/05/2020,	300,	Italy,
25/05/2020,	531,	Italy,
24/05/2020,	669,	Italy,
23/05/2020,	652,	Italy,
22/05/2020,	642,	Italy,
21/05/2020,	665,	Italy,
20/05/2020,	813,	Italy,
19/05/2020,	451,	Italy,
18/05/2020,	675,	Italy,
17/05/2020,	875,	Italy,
16/05/2020,	789,	Italy,
15/05/2020,	992,	Italy,
14/05/2020,	888,	Italy,
13/05/2020,	1402,	Italy,
44170,	744,	Italy,
44140,	802,	Italy,
44109,	1083,	Italy,
44079,	1327,	Italy,
44048,	1401,	Italy,
44017,	1444,	Italy,
43987,	1075,	Italy,
43956,	1221,	Italy,
43926,	1389,	Italy,
43895,	1900,	Italy,
43866,	1965,	Italy,
43835,	1872,	Italy,
30/04/2020,	2086,	Italy,
29/04/2020,	2091,	Italy,
28/04/2020,	1739,	Italy,
27/04/2020,	2324,	Italy,
26/04/2020,	2357,	Italy,
25/04/2020,	3021,	Italy,
24/04/2020,	2646,	Italy,
23/04/2020,	3370,	Italy,
22/04/2020,	2729,	Italy,
21/04/2020,	2256,	Italy,
20/04/2020,	3047,	Italy,
19/04/2020,	3491,	Italy,
18/04/2020,	3493,	Italy,
17/04/2020,	3786,	Italy,
16/04/2020,	2667,	Italy,
15/04/2020,	2972,	Italy,
14/04/2020,	3153,	Italy,
13/04/2020,	4092,	Italy,
44169,	4694,	Italy,
44139,	3951,	Italy,
44108,	4204,	Italy,
44078,	3836,	Italy,
44047,	3039,	Italy,
44016,	3599,	Italy,
43986,	4316,	Italy,
43955,	4805,	Italy,
43925,	4585,	Italy,
43894,	4668,	Italy,
43865,	4782,	Italy,
43834,	4053,	Italy,
31/03/2020,	4050,	Italy,
30/03/2020,	5217,	Italy,
29/03/2020,	5974,	Italy,
28/03/2020,	5959,	Italy,
27/03/2020,	6153,	Italy,
26/03/2020,	5210,	Italy,
25/03/2020,	5249,	Italy,
24/03/2020,	4789,	Italy,
23/03/2020,	5560,	Italy,
22/03/2020,	6557,	Italy,
21/03/2020,	5986,	Italy,
20/03/2020,	5322,	Italy,
19/03/2020,	4207,	Italy,
18/03/2020,	3526,	Italy,
17/03/2020,	4000,	Italy,
16/03/2020,	2823,	Italy,
15/03/2020,	3497,	Italy,
14/03/2020,	2547,	Italy,
13/03/2020,	2651,	Italy,
44168,	2313,	Italy,
44138,	977,	Italy,
44107,	1797,	Italy,
44077,	1492,	Italy,
44046,	1247,	Italy,
44015,	778,	Italy,
43985,	769,	Italy,
43954,	587,	Italy,
43924,	466,	Italy,
43893,	347,	Italy,
43864,	561,	Italy,
43833,	240,	Italy,
29/02/2020,	238,	Italy,
28/02/2020,	250,	Italy,
27/02/2020,	78,	Italy,
26/02/2020,	93,	Italy,
25/02/2020,	97,	Italy,
24/02/2020,	53,	Italy,
23/02/2020,	62,	Italy,
22/02/2020,	14,	Italy,
21/02/2020,	0,	Italy,
20/02/2020,	0,	Italy,
19/02/2020,	0,	Italy,
18/02/2020,	0,	Italy,
17/02/2020,	0,	Italy,
16/02/2020,	0,	Italy,
15/02/2020,	0,	Italy,
14/02/2020,	0,	Italy,
13/02/2020,	0,	Italy,
44167,	0,	Italy,
44137,	0,	Italy,
44106,	0,	Italy,
44076,	0,	Italy,
44045,	0,	Italy,
44014,	0,	Italy,
43984,	0,	Italy,
43953,	0,	Italy,
43923,	0,	Italy,
43892,	0,	Italy,
43863,	0,	Italy,
43832,	0,	Italy,
31/01/2020,	3,	Italy,
30/01/2020,	0,	Italy,
29/01/2020,	0,	Italy,
28/01/2020,	0,	Italy,
27/01/2020,	0,	Italy,
26/01/2020,	0,	Italy,
25/01/2020,	0,	Italy,
24/01/2020,	0,	Italy,
23/01/2020,	0,	Italy,
22/01/2020,	0,	Italy,
21/01/2020,	0,	Italy,
20/01/2020,	0,	Italy,
19/01/2020,	0,	Italy,
18/01/2020,	0,	Italy,
17/01/2020,	0,	Italy,
16/01/2020,	0,	Italy,
15/01/2020,	0,	Italy,
14/01/2020,	0,	Italy,
13/01/2020,	0,	Italy,
44166,	0,	Italy,
44136,	0,	Italy,
44105,	0,	Italy,
44075,	0,	Italy,
44044,	0,	Italy,
44013,	0,	Italy,
43983,	0,	Italy,
43952,	0,	Italy,
43922,	0,	Italy,
43891,	0,	Italy,
43862,	0,	Italy,
43831,	0,	Italy,
31/12/2019,	0,	Italy,
16/06/2020,	85,	Japan,
15/06/2020,	73,	Japan,
14/06/2020,	47,	Japan,
13/06/2020,	50,	Japan,
44171,	40,	Japan,
44141,	41,	Japan,
44110,	41,	Japan,
44080,	36,	Japan,
44049,	33,	Japan,
44018,	38,	Japan,
43988,	39,	Japan,
43957,	46,	Japan,
43927,	32,	Japan,
43896,	56,	Japan,
43867,	46,	Japan,
43836,	33,	Japan,
31/05/2020,	47,	Japan,
30/05/2020,	85,	Japan,
29/05/2020,	68,	Japan,
28/05/2020,	0,	Japan,
27/05/2020,	28,	Japan,
26/05/2020,	42,	Japan,
25/05/2020,	31,	Japan,
24/05/2020,	14,	Japan,
23/05/2020,	23,	Japan,
22/05/2020,	89,	Japan,
21/05/2020,	39,	Japan,
20/05/2020,	20,	Japan,
19/05/2020,	60,	Japan,
18/05/2020,	20,	Japan,
17/05/2020,	48,	Japan,
16/05/2020,	44,	Japan,
15/05/2020,	114,	Japan,
14/05/2020,	55,	Japan,
13/05/2020,	150,	Japan,
44170,	76,	Japan,
44140,	51,	Japan,
44109,	119,	Japan,
44079,	81,	Japan,
44048,	84,	Japan,
44017,	109,	Japan,
43987,	123,	Japan,
43956,	174,	Japan,
43926,	218,	Japan,
43895,	295,	Japan,
43866,	263,	Japan,
43835,	193,	Japan,
30/04/2020,	236,	Japan,
29/04/2020,	276,	Japan,
28/04/2020,	191,	Japan,
27/04/2020,	203,	Japan,
26/04/2020,	290,	Japan,
25/04/2020,	652,	Japan,
24/04/2020,	468,	Japan,
23/04/2020,	276,	Japan,
22/04/2020,	378,	Japan,
21/04/2020,	367,	Japan,
20/04/2020,	390,	Japan,
19/04/2020,	566,	Japan,
18/04/2020,	628,	Japan,
17/04/2020,	585,	Japan,
16/04/2020,	482,	Japan,
15/04/2020,	455,	Japan,
14/04/2020,	390,	Japan,
13/04/2020,	507,	Japan,
44169,	1401,	Japan,
44139,	680,	Japan,
44108,	410,	Japan,
44078,	351,	Japan,
44047,	89,	Japan,
44016,	163,	Japan,
43986,	383,	Japan,
43955,	336,	Japan,
43925,	318,	Japan,
43894,	439,	Japan,
43865,	225,	Japan,
43834,	0,	Japan,
31/03/2020,	87,	Japan,
30/03/2020,	173,	Japan,
29/03/2020,	194,	Japan,
28/03/2020,	135,	Japan,
27/03/2020,	96,	Japan,
26/03/2020,	75,	Japan,
25/03/2020,	65,	Japan,
24/03/2020,	39,	Japan,
23/03/2020,	43,	Japan,
22/03/2020,	39,	Japan,
21/03/2020,	57,	Japan,
20/03/2020,	77,	Japan,
19/03/2020,	44,	Japan,
18/03/2020,	5,	Japan,
17/03/2020,	10,	Japan,
16/03/2020,	34,	Japan,
15/03/2020,	43,	Japan,
14/03/2020,	62,	Japan,
13/03/2020,	56,	Japan,
44168,	51,	Japan,
44138,	54,	Japan,
44107,	26,	Japan,
44077,	33,	Japan,
44046,	47,	Japan,
44015,	59,	Japan,
43985,	32,	Japan,
43954,	49,	Japan,
43924,	14,	Japan,
43893,	0,	Japan,
43864,	15,	Japan,
43833,	9,	Japan,
29/02/2020,	20,	Japan,
28/02/2020,	24,	Japan,
27/02/2020,	22,	Japan,
26/02/2020,	20,	Japan,
25/02/2020,	0,	Japan,
24/02/2020,	12,	Japan,
23/02/2020,	27,	Japan,
22/02/2020,	12,	Japan,
21/02/2020,	9,	Japan,
20/02/2020,	18,	Japan,
19/02/2020,	7,	Japan,
18/02/2020,	0,	Japan,
17/02/2020,	7,	Japan,
16/02/2020,	14,	Japan,
15/02/2020,	8,	Japan,
14/02/2020,	1,	Japan,
13/02/2020,	4,	Japan,
44167,	0,	Japan,
44137,	0,	Japan,
44106,	0,	Japan,
44076,	0,	Japan,
44045,	0,	Japan,
44014,	0,	Japan,
43984,	0,	Japan,
43953,	5,	Japan,
43923,	0,	Japan,
43892,	1,	Japan,
43863,	4,	Japan,
43832,	1,	Japan,
31/01/2020,	3,	Japan,
30/01/2020,	4,	Japan,
29/01/2020,	3,	Japan,
28/01/2020,	1,	Japan,
27/01/2020,	0,	Japan,
26/01/2020,	1,	Japan,
25/01/2020,	0,	Japan,
24/01/2020,	1,	Japan,
23/01/2020,	0,	Japan,
22/01/2020,	0,	Japan,
21/01/2020,	0,	Japan,
20/01/2020,	0,	Japan,
19/01/2020,	0,	Japan,
18/01/2020,	0,	Japan,
17/01/2020,	0,	Japan,
16/01/2020,	0,	Japan,
15/01/2020,	1,	Japan,
14/01/2020,	0,	Japan,
13/01/2020,	0,	Japan,
44166,	0,	Japan,
44136,	0,	Japan,
44105,	0,	Japan,
44075,	0,	Japan,
44044,	0,	Japan,
44013,	0,	Japan,
43983,	0,	Japan,
43952,	0,	Japan,
43922,	0,	Japan,
43891,	0,	Japan,
43862,	0,	Japan,
43831,	0,	Japan,
31/12/2019,	0,	Japan,
16/06/2020,	8246,	Russia,
15/06/2020,	8835,	Russia,
14/06/2020,	8706,	Russia,
13/06/2020,	8987,	Russia,
44171,	8779,	Russia,
44141,	8404,	Russia,
44110,	8595,	Russia,
44080,	8985,	Russia,
44049,	8984,	Russia,
44018,	8855,	Russia,
43988,	8726,	Russia,
43957,	8831,	Russia,
43927,	8536,	Russia,
43896,	8863,	Russia,
43867,	9035,	Russia,
43836,	9268,	Russia,
31/05/2020,	8952,	Russia,
30/05/2020,	8572,	Russia,
29/05/2020,	8371,	Russia,
28/05/2020,	8338,	Russia,
27/05/2020,	8915,	Russia,
26/05/2020,	8946,	Russia,
25/05/2020,	8599,	Russia,
24/05/2020,	9434,	Russia,
23/05/2020,	8894,	Russia,
22/05/2020,	8849,	Russia,
21/05/2020,	8764,	Russia,
20/05/2020,	9263,	Russia,
19/05/2020,	8926,	Russia,
18/05/2020,	9709,	Russia,
17/05/2020,	9200,	Russia,
16/05/2020,	10598,	Russia,
15/05/2020,	9974,	Russia,
14/05/2020,	10028,	Russia,
13/05/2020,	10899,	Russia,
44170,	11656,	Russia,
44140,	11012,	Russia,
44109,	10817,	Russia,
44079,	10699,	Russia,
44048,	11231,	Russia,
44017,	10559,	Russia,
43987,	10102,	Russia,
43956,	10581,	Russia,
43926,	10633,	Russia,
43895,	9623,	Russia,
43866,	7933,	Russia,
43835,	7099,	Russia,
30/04/2020,	5841,	Russia,
29/04/2020,	6411,	Russia,
28/04/2020,	6198,	Russia,
27/04/2020,	6361,	Russia,
26/04/2020,	5966,	Russia,
25/04/2020,	5849,	Russia,
24/04/2020,	4774,	Russia,
23/04/2020,	5236,	Russia,
22/04/2020,	5642,	Russia,
21/04/2020,	4268,	Russia,
20/04/2020,	6060,	Russia,
19/04/2020,	4785,	Russia,
18/04/2020,	4070,	Russia,
17/04/2020,	3448,	Russia,
16/04/2020,	3388,	Russia,
15/04/2020,	2774,	Russia,
14/04/2020,	2558,	Russia,
13/04/2020,	2186,	Russia,
44169,	1667,	Russia,
44139,	1786,	Russia,
44108,	1459,	Russia,
44078,	1175,	Russia,
44047,	1154,	Russia,
44016,	954,	Russia,
43986,	658,	Russia,
43955,	582,	Russia,
43925,	601,	Russia,
43894,	771,	Russia,
43865,	440,	Russia,
43834,	501,	Russia,
31/03/2020,	302,	Russia,
30/03/2020,	270,	Russia,
29/03/2020,	228,	Russia,
28/03/2020,	196,	Russia,
27/03/2020,	182,	Russia,
26/03/2020,	163,	Russia,
25/03/2020,	57,	Russia,
24/03/2020,	0,	Russia,
23/03/2020,	132,	Russia,
22/03/2020,	53,	Russia,
21/03/2020,	54,	Russia,
20/03/2020,	52,	Russia,
19/03/2020,	33,	Russia,
18/03/2020,	21,	Russia,
17/03/2020,	30,	Russia,
16/03/2020,	4,	Russia,
15/03/2020,	14,	Russia,
14/03/2020,	15,	Russia,
13/03/2020,	5,	Russia,
44168,	15,	Russia,
44138,	0,	Russia,
44107,	0,	Russia,
44077,	0,	Russia,
44046,	0,	Russia,
44015,	6,	Russia,
43985,	0,	Russia,
43954,	0,	Russia,
43924,	1,	Russia,
43893,	1,	Russia,
43864,	0,	Russia,
43833,	0,	Russia,
29/02/2020,	0,	Russia,
28/02/2020,	0,	Russia,
27/02/2020,	0,	Russia,
26/02/2020,	0,	Russia,
25/02/2020,	0,	Russia,
24/02/2020,	0,	Russia,
23/02/2020,	0,	Russia,
22/02/2020,	0,	Russia,
21/02/2020,	0,	Russia,
20/02/2020,	0,	Russia,
19/02/2020,	0,	Russia,
18/02/2020,	0,	Russia,
17/02/2020,	0,	Russia,
16/02/2020,	0,	Russia,
15/02/2020,	0,	Russia,
14/02/2020,	0,	Russia,
13/02/2020,	0,	Russia,
44167,	0,	Russia,
44137,	0,	Russia,
44106,	0,	Russia,
44076,	0,	Russia,
44045,	0,	Russia,
44014,	0,	Russia,
43984,	0,	Russia,
43953,	0,	Russia,
43923,	0,	Russia,
43892,	0,	Russia,
43863,	0,	Russia,
43832,	2,	Russia,
31/01/2020,	0,	Russia,
30/01/2020,	0,	Russia,
29/01/2020,	0,	Russia,
28/01/2020,	0,	Russia,
27/01/2020,	0,	Russia,
26/01/2020,	0,	Russia,
25/01/2020,	0,	Russia,
24/01/2020,	0,	Russia,
23/01/2020,	0,	Russia,
22/01/2020,	0,	Russia,
21/01/2020,	0,	Russia,
20/01/2020,	0,	Russia,
19/01/2020,	0,	Russia,
18/01/2020,	0,	Russia,
17/01/2020,	0,	Russia,
16/01/2020,	0,	Russia,
15/01/2020,	0,	Russia,
14/01/2020,	0,	Russia,
13/01/2020,	0,	Russia,
44166,	0,	Russia,
44136,	0,	Russia,
44105,	0,	Russia,
44075,	0,	Russia,
44044,	0,	Russia,
44013,	0,	Russia,
43983,	0,	Russia,
43952,	0,	Russia,
43922,	0,	Russia,
43891,	0,	Russia,
43862,	0,	Russia,
43831,	0,	Russia,
31/12/2019,	0,	Russia,
16/06/2020,	19957,	United States of America,
15/06/2020,	19543,	United States of America,
14/06/2020,	25540,	United States of America,
13/06/2020,	25639,	United States of America,
44171,	22883,	United States of America,
44141,	20614,	United States of America,
44110,	18665,	United States of America,
44080,	18822,	United States of America,
44049,	22302,	United States of America,
44018,	22223,	United States of America,
43988,	25178,	United States of America,
43957,	21140,	United States of America,
43927,	19699,	United States of America,
43896,	20544,	United States of America,
43867,	21086,	United States of America,
43836,	19807,	United States of America,
31/05/2020,	23297,	United States of America,
30/05/2020,	25337,	United States of America,
29/05/2020,	21817,	United States of America,
28/05/2020,	18721,	United States of America,
27/05/2020,	18910,	United States of America,
26/05/2020,	19064,	United States of America,
25/05/2020,	20568,	United States of America,
24/05/2020,	21236,	United States of America,
23/05/2020,	24147,	United States of America,
22/05/2020,	25434,	United States of America,
21/05/2020,	23285,	United States of America,
20/05/2020,	19970,	United States of America,
19/05/2020,	21841,	United States of America,
18/05/2020,	18873,	United States of America,
17/05/2020,	24487,	United States of America,
16/05/2020,	25508,	United States of America,
15/05/2020,	27143,	United States of America,
14/05/2020,	20782,	United States of America,
13/05/2020,	22048,	United States of America,
44170,	18117,	United States of America,
44140,	20258,	United States of America,
44109,	25612,	United States of America,
44079,	26957,	United States of America,
44048,	28369,	United States of America,
44017,	24128,	United States of America,
43987,	23841,	United States of America,
43956,	22593,	United States of America,
43926,	24972,	United States of America,
43895,	29288,	United States of America,
43866,	33955,	United States of America,
43835,	29917,	United States of America,
30/04/2020,	27326,	United States of America,
29/04/2020,	24132,	United States of America,
28/04/2020,	22541,	United States of America,
27/04/2020,	26857,	United States of America,
26/04/2020,	48529,	United States of America,
25/04/2020,	21352,	United States of America,
24/04/2020,	26543,	United States of America,
23/04/2020,	17588,	United States of America,
22/04/2020,	37289,	United States of America,
21/04/2020,	28065,	United States of America,
20/04/2020,	24601,	United States of America,
19/04/2020,	32922,	United States of America,
18/04/2020,	30833,	United States of America,
17/04/2020,	31667,	United States of America,
16/04/2020,	30148,	United States of America,
15/04/2020,	26922,	United States of America,
14/04/2020,	25023,	United States of America,
13/04/2020,	27620,	United States of America,
44169,	28391,	United States of America,
44139,	35527,	United States of America,
44108,	33901,	United States of America,
44078,	33323,	United States of America,
44047,	30613,	United States of America,
44016,	30561,	United States of America,
43986,	25398,	United States of America,
43955,	34272,	United States of America,
43925,	32425,	United States of America,
43894,	28819,	United States of America,
43865,	27103,	United States of America,
43834,	24998,	United States of America,
31/03/2020,	21595,	United States of America,
30/03/2020,	18360,	United States of America,
29/03/2020,	19979,	United States of America,
28/03/2020,	18695,	United States of America,
27/03/2020,	16797,	United States of America,
26/03/2020,	13963,	United States of America,
25/03/2020,	8789,	United States of America,
24/03/2020,	11236,	United States of America,
23/03/2020,	8459,	United States of America,
22/03/2020,	7123,	United States of America,
21/03/2020,	5374,	United States of America,
20/03/2020,	4835,	United States of America,
19/03/2020,	2988,	United States of America,
18/03/2020,	1766,	United States of America,
17/03/2020,	887,	United States of America,
16/03/2020,	823,	United States of America,
15/03/2020,	777,	United States of America,
14/03/2020,	511,	United States of America,
13/03/2020,	351,	United States of America,
44168,	287,	United States of America,
44138,	271,	United States of America,
44107,	200,	United States of America,
44077,	121,	United States of America,
44046,	95,	United States of America,
44015,	105,	United States of America,
43985,	74,	United States of America,
43954,	34,	United States of America,
43924,	22,	United States of America,
43893,	14,	United States of America,
43864,	20,	United States of America,
43833,	3,	United States of America,
29/02/2020,	6,	United States of America,
28/02/2020,	1,	United States of America,
27/02/2020,	6,	United States of America,
26/02/2020,	0,	United States of America,
25/02/2020,	18,	United States of America,
24/02/2020,	0,	United States of America,
23/02/2020,	0,	United States of America,
22/02/2020,	19,	United States of America,
21/02/2020,	1,	United States of America,
20/02/2020,	0,	United States of America,
19/02/2020,	0,	United States of America,
18/02/2020,	0,	United States of America,
17/02/2020,	0,	United States of America,
16/02/2020,	0,	United States of America,
15/02/2020,	0,	United States of America,
14/02/2020,	1,	United States of America,
13/02/2020,	1,	United States of America,
44167,	0,	United States of America,
44137,	1,	United States of America,
44106,	0,	United States of America,
44076,	0,	United States of America,
44045,	0,	United States of America,
44014,	0,	United States of America,
43984,	1,	United States of America,
43953,	0,	United States of America,
43923,	0,	United States of America,
43892,	3,	United States of America,
43863,	1,	United States of America,
43832,	1,	United States of America,
31/01/2020,	1,	United States of America,
30/01/2020,	0,	United States of America,
29/01/2020,	0,	United States of America,
28/01/2020,	0,	United States of America,
27/01/2020,	3,	United States of America,
26/01/2020,	0,	United States of America,
25/01/2020,	1,	United States of America,
24/01/2020,	0,	United States of America,
23/01/2020,	0,	United States of America,
22/01/2020,	0,	United States of America,
